,id,shelf,shelf_name,division,book,book_name,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max
55,55,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Werner,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
56,56,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Werner-DFT,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
57,57,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Rakic,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Rakic.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398
58,58,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Windt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157
59,59,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Ordal,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Ordal.yml,0,nk,52,52,0.667,286.0,0.667,286.0
60,60,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Hagemann,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Hagemann.yml,0,nk,149,149,8.266e-06,248.0,8.266e-06,248.0
61,61,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Hagemann-2,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Hagemann-2.yml,0,nk,124,124,0.003542,0.8266,0.003542,0.8266
62,62,main,MAIN - simple inorganic materials,B - Boron and borates,B,B (Boron),Fernandez-Perea,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/B/Fernandez-Perea.yml,0,nk,1699,1699,0.001378047,0.180999976,0.001378047,0.180999976
63,63,main,MAIN - simple inorganic materials,B - Boron and borates,BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",Eimerl-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/BaB2O4/Eimerl-o.yml,4,,0,0,0.22,1.06,0.0,inf
64,64,main,MAIN - simple inorganic materials,B - Boron and borates,BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",Eimerl-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/BaB2O4/Eimerl-e.yml,4,,0,0,0.22,1.06,0.0,inf
