id,shelf,shelf_name,division,book,book_name,section,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max,wl_min,wl_max
61,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-40K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-40K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
62,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-30K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-30K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
63,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-20K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-20K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
64,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Grace-solid-83.81K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Grace-solid-83.81K.yml,1,f,0,0,0.117,0.66,0.117,0.66,0.117,0.66
65,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Grace-solid-20K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Grace-solid-20K.yml,1,f,0,0,0.117,0.66,0.117,0.66,0.117,0.66
66,main,MAIN - simple inorganic materials,As - Arsenides,AlAs,AlAs (Aluminium arsenide),Experimental data,Fern,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/AlAs/Fern.yml,1,f,0,0,0.56,2.2,0.56,2.2,0.56,2.2
67,main,MAIN - simple inorganic materials,As - Arsenides,AlAs,AlAs (Aluminium arsenide),Models and simulations,Rakic,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/AlAs/Rakic.yml,0,nk,200,200,0.2214,2.4797,0.2214,2.4797,0.2214,2.4797
68,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Experimental data,Aspnes,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Aspnes.yml,0,nk,46,46,0.2066,0.8266,0.2066,0.8266,0.2066,0.8266
69,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Experimental data,Perner,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Perner.yml,1,f,0,0,2.0,7.1,2.0,7.1,2.0,7.1
70,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Experimental data,Papatryfonos,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Papatryfonos.yml,0,nk,206,206,0.26049,1.87868,0.26049,1.87868,0.26049,1.87868
